Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,Preferred Positions
67,71,67,71,66,53,80,48,62,44,68,50,71,62,64,62,65,57,59,64,66,73,62,63,66,61,62,68,34,LM
67,71,67,71,66,53,80,48,62,44,68,50,71,62,64,62,65,57,59,64,66,73,62,63,66,61,62,68,34,LB
84,65,55,55,69,79,56,59,73,74,67,77,32,84,47,76,28,74,73,83,63,84,24,81,56,27,87,58,76,CF
84,65,55,55,69,79,56,59,73,74,67,77,32,84,47,76,28,74,73,83,63,84,24,81,56,27,87,58,76,ST
70,44,74,64,77,76,71,75,73,72,76,53,32,44,67,72,25,73,70,70,74,70,47,71,72,32,56,73,74,CAM
70,44,74,64,77,76,71,75,73,72,76,53,32,44,67,72,25,73,70,70,74,70,47,71,72,32,56,73,74,LM
60,73,62,65,58,73,48,53,50,76,43,67,26,79,37,66,18,71,73,70,53,77,23,65,67,26,78,67,68,ST
62,69,71,82,67,74,57,58,55,37,45,46,67,72,70,41,64,50,54,65,74,47,65,60,78,66,61,66,34,CM
62,69,71,82,67,74,57,58,55,37,45,46,67,72,70,41,64,50,54,65,74,47,65,60,78,66,61,66,34,CDM
62,49,68,67,70,65,61,75,68,64,67,58,34,67,66,67,37,74,69,68,68,73,35,66,66,39,69,64,65,CAM
52,53,74,63,58,45,56,55,54,49,57,45,47,73,56,54,52,37,57,62,62,53,53,71,84,57,71,48,30,CAM
52,53,74,63,58,45,56,55,54,49,57,45,47,73,56,54,52,37,57,62,62,53,53,71,84,57,71,48,30,CM
52,53,74,63,58,45,56,55,54,49,57,45,47,73,56,54,52,37,57,62,62,53,53,71,84,57,71,48,30,CDM
70,68,77,63,57,59,44,42,63,37,39,58,61,65,61,54,53,47,58,54,62,56,48,68,79,59,77,57,39,CM
70,68,77,63,57,59,44,42,63,37,39,58,61,65,61,54,53,47,58,54,62,56,48,68,79,59,77,57,39,CDM
76,47,70,66,61,63,45,58,64,67,42,54,25,62,41,53,12,66,64,65,58,70,20,82,63,13,71,56,55,ST
66,42,76,73,50,58,38,45,42,43,36,39,25,54,51,48,39,46,39,45,54,41,40,69,46,36,49,58,39,CAM
66,75,68,70,62,70,60,57,58,41,50,61,59,65,66,56,49,54,53,69,68,63,58,65,73,61,67,65,52,RM
66,75,68,70,62,70,60,57,58,41,50,61,59,65,66,56,49,54,53,69,68,63,58,65,73,61,67,65,52,LM
66,75,68,70,62,70,60,57,58,41,50,61,59,65,66,56,49,54,53,69,68,63,58,65,73,61,67,65,52,CDM
66,75,68,70,62,70,60,57,58,41,50,61,59,65,66,56,49,54,53,69,68,63,58,65,73,61,67,65,52,CM
68,65,69,69,79,72,78,69,75,73,73,53,68,57,76,74,63,77,68,75,79,77,63,64,80,71,70,75,70,CDM
68,65,69,69,79,72,78,69,75,73,73,53,68,57,76,74,63,77,68,75,79,77,63,64,80,71,70,75,70,CM
64,73,68,72,63,62,63,51,55,30,41,53,65,76,57,37,67,43,46,64,64,55,68,64,75,66,67,46,42,RB
64,73,68,72,63,62,63,51,55,30,41,53,65,76,57,37,67,43,46,64,64,55,68,64,75,66,67,46,42,LB
76,60,80,70,68,68,68,67,73,64,75,59,61,79,70,68,56,63,57,65,66,79,58,82,79,63,59,70,61,LB
76,60,80,70,68,68,68,67,73,64,75,59,61,79,70,68,56,63,57,65,66,79,58,82,79,63,59,70,61,CM
76,60,80,70,68,68,68,67,73,64,75,59,61,79,70,68,56,63,57,65,66,79,58,82,79,63,59,70,61,CDM
76,60,80,70,68,68,68,67,73,64,75,59,61,79,70,68,56,63,57,65,66,79,58,82,79,63,59,70,61,RB
66,63,69,60,73,69,61,64,69,70,59,73,67,75,69,72,68,63,72,72,74,72,63,62,71,69,73,69,69,CM
65,63,54,64,65,53,43,65,63,59,25,64,19,60,38,56,30,49,68,61,58,68,20,75,50,31,81,43,53,ST
60,77,60,54,60,70,68,53,65,56,60,63,70,68,58,43,69,63,41,71,64,65,68,52,69,70,69,45,36,LWB
60,77,60,54,60,70,68,53,65,56,60,63,70,68,58,43,69,63,41,71,64,65,68,52,69,70,69,45,36,LB
74,55,82,69,71,54,57,66,72,70,52,60,11,60,57,68,16,54,63,52,63,65,12,68,69,19,61,54,61,ST
74,55,82,69,71,54,57,66,72,70,52,60,11,60,57,68,16,54,63,52,63,65,12,68,69,19,61,54,61,RM
74,55,82,69,71,54,57,66,72,70,52,60,11,60,57,68,16,54,63,52,63,65,12,68,69,19,61,54,61,CAM
85,56,83,80,66,56,67,66,66,50,46,56,64,53,64,53,61,59,55,63,67,71,69,80,72,70,65,47,45,LWB
85,56,83,80,66,56,67,66,66,50,46,56,64,53,64,53,61,59,55,63,67,71,69,80,72,70,65,47,45,LB
82,57,75,68,80,69,72,80,82,67,73,54,54,66,68,63,44,58,74,74,69,73,42,88,75,48,74,66,61,RM
76,72,79,75,75,74,76,75,74,33,39,64,72,75,68,51,72,49,64,64,72,65,78,82,87,78,65,60,33,RB
76,72,79,75,75,74,76,75,74,33,39,64,72,75,68,51,72,49,64,64,72,65,78,82,87,78,65,60,33,LB
70,80,76,85,69,69,52,59,63,40,35,57,80,72,78,68,70,59,60,72,76,71,78,60,76,80,66,70,36,CM
70,80,76,85,69,69,52,59,63,40,35,57,80,72,78,68,70,59,60,72,76,71,78,60,76,80,66,70,36,CDM
74,65,72,72,63,63,61,65,65,55,59,57,64,63,57,60,60,55,60,64,60,72,62,72,74,65,68,59,60,RM
74,65,72,72,63,63,61,65,65,55,59,57,64,63,57,60,60,55,60,64,60,72,62,72,74,65,68,59,60,LM
74,65,72,72,63,63,61,65,65,55,59,57,64,63,57,60,60,55,60,64,60,72,62,72,74,65,68,59,60,LB
58,62,50,64,59,56,32,29,55,57,35,66,60,71,65,42,73,33,59,61,58,50,67,65,80,73,61,36,29,CB
58,62,50,64,59,56,32,29,55,57,35,66,60,71,65,42,73,33,59,61,58,50,67,65,80,73,61,36,29,CDM
68,61,78,76,63,56,52,39,58,53,40,46,55,67,61,51,53,47,59,59,64,55,48,67,65,49,48,61,37,CDM
68,61,78,76,63,56,52,39,58,53,40,46,55,67,61,51,53,47,59,59,64,55,48,67,65,49,48,61,37,LM
83,67,84,86,76,73,71,70,78,68,63,58,69,80,67,63,70,66,68,73,72,66,72,80,83,71,62,69,58,RM
83,67,84,86,76,73,71,70,78,68,63,58,69,80,67,63,70,66,68,73,72,66,72,80,83,71,62,69,58,RB
71,54,63,65,59,51,62,28,68,30,36,59,60,70,59,29,64,42,44,61,48,40,62,69,72,66,71,31,34,LM
71,54,63,65,59,51,62,28,68,30,36,59,60,70,59,29,64,42,44,61,48,40,62,69,72,66,71,31,34,LB
77,71,75,77,70,71,54,58,68,53,49,51,67,69,67,59,66,57,55,63,71,63,66,79,76,68,72,64,42,CM
77,71,75,77,70,71,54,58,68,53,49,51,67,69,67,59,66,57,55,63,71,63,66,79,76,68,72,64,42,CDM
53,69,62,67,61,60,37,33,55,28,36,65,70,72,63,42,66,45,43,60,66,70,64,63,68,68,69,50,35,CB
53,69,62,67,61,60,37,33,55,28,36,65,70,72,63,42,66,45,43,60,66,70,64,63,68,68,69,50,35,CDM
62,57,58,64,45,53,39,35,45,31,24,57,43,63,47,38,55,40,32,54,49,40,57,65,56,60,64,49,37,CB
70,76,78,77,69,70,61,70,65,56,71,54,67,72,70,72,62,58,62,72,72,73,55,68,84,60,53,73,69,CDM
79,28,82,66,69,68,63,58,74,68,64,33,25,66,59,59,25,70,59,55,63,60,22,78,71,24,63,67,54,RW
79,28,82,66,69,68,63,58,74,68,64,33,25,66,59,59,25,70,59,55,63,60,22,78,71,24,63,67,54,LW
72,53,75,79,79,71,69,71,74,65,62,48,65,42,74,79,22,63,71,66,78,75,32,79,60,37,70,76,63,RM
72,53,75,79,79,71,69,71,74,65,62,48,65,42,74,79,22,63,71,66,78,75,32,79,60,37,70,76,63,CM
61,66,59,72,55,58,46,42,62,38,44,55,43,61,70,43,50,55,61,59,74,65,61,66,64,53,44,50,49,CM
77,38,84,82,69,68,57,57,71,62,59,38,28,70,58,64,27,55,70,65,63,63,28,74,65,31,45,56,61,CAM
77,38,84,82,69,68,57,57,71,62,59,38,28,70,58,64,27,55,70,65,63,63,28,74,65,31,45,56,61,RM
77,38,84,82,69,68,57,57,71,62,59,38,28,70,58,64,27,55,70,65,63,63,28,74,65,31,45,56,61,LM
71,73,64,57,77,79,62,46,69,29,29,77,76,72,71,38,80,37,48,75,80,46,81,71,79,83,79,59,27,CB
75,35,65,73,54,51,49,41,51,48,41,33,20,42,43,32,25,50,49,46,54,52,22,73,54,31,48,48,42,LW
72,74,71,67,67,73,68,72,53,30,40,60,72,56,51,46,57,48,51,73,58,60,63,71,78,59,50,60,54,RB
71,40,75,75,63,55,62,43,64,56,36,39,55,47,45,54,55,52,65,56,64,63,56,72,67,57,59,57,40,LB
71,40,75,75,63,55,62,43,64,56,36,39,55,47,45,54,55,52,65,56,64,63,56,72,67,57,59,57,40,RM
53,35,57,72,63,64,29,35,70,67,30,55,14,73,38,49,12,61,75,68,58,66,12,52,59,17,60,47,44,ST
65,94,63,49,62,77,46,44,58,46,47,80,86,76,61,56,86,57,40,83,70,63,87,70,62,86,84,48,23,CB
76,58,58,45,68,64,42,55,71,52,50,69,51,69,64,60,55,41,73,75,63,55,60,80,63,51,75,62,54,RM
76,58,58,45,68,64,42,55,71,52,50,69,51,69,64,60,55,41,73,75,63,55,60,80,63,51,75,62,54,LM
64,74,54,56,73,77,50,38,63,81,44,80,23,65,40,71,11,71,79,76,64,79,19,74,68,42,84,58,77,ST
93,41,92,91,72,68,74,73,78,68,74,46,42,54,68,68,20,68,67,66,76,71,19,84,58,22,50,75,64,LM
93,41,92,91,72,68,74,73,78,68,74,46,42,54,68,68,20,68,67,66,76,71,19,84,58,22,50,75,64,CAM
65,47,78,67,73,70,72,69,75,69,68,52,59,50,68,70,56,71,69,68,69,72,59,66,87,63,72,73,68,RM
77,73,88,81,72,72,64,70,66,48,62,61,63,74,70,58,56,41,66,61,71,72,43,73,82,44,70,71,68,CM
50,62,61,56,59,59,48,49,53,48,58,60,64,75,57,51,53,66,52,57,61,56,53,52,79,57,75,57,45,CB
50,62,61,56,59,59,48,49,53,48,58,60,64,75,57,51,53,66,52,57,61,56,53,52,79,57,75,57,45,CM
50,62,61,56,59,59,48,49,53,48,58,60,64,75,57,51,53,66,52,57,61,56,53,52,79,57,75,57,45,CDM
46,49,69,72,62,62,62,51,60,51,55,49,55,65,67,55,55,61,58,63,63,53,59,55,65,60,67,69,28,CDM
46,49,69,72,62,62,62,51,60,51,55,49,55,65,67,55,55,61,58,63,63,53,59,55,65,60,67,69,28,CM
73,54,63,50,75,66,67,63,73,49,43,68,64,58,77,60,72,46,60,50,62,64,73,73,73,69,53,61,63,CB
73,54,63,50,75,66,67,63,73,49,43,68,64,58,77,60,72,46,60,50,62,64,73,73,73,69,53,61,63,RB
75,57,72,76,60,67,58,46,64,28,35,48,60,74,42,42,58,46,52,55,60,59,68,73,75,66,71,43,26,RB
69,82,80,58,69,67,68,65,75,36,49,75,73,77,67,55,76,48,58,68,76,56,77,76,76,74,58,56,54,RB
78,69,65,62,66,62,70,45,65,60,25,36,61,56,54,56,57,32,66,51,62,62,62,67,67,66,61,45,24,LB
68,57,64,62,64,58,47,54,62,69,46,63,26,65,44,56,20,67,73,57,54,67,23,75,70,24,71,59,61,ST
67,53,71,80,51,42,47,43,50,48,40,49,48,67,53,49,41,43,41,59,55,59,50,62,48,49,53,53,38,CM
69,75,50,66,57,40,41,39,50,57,68,54,66,55,58,65,52,48,32,51,62,58,57,67,65,61,70,52,30,CB
69,75,50,66,57,40,41,39,50,57,68,54,66,55,58,65,52,48,32,51,62,58,57,67,65,61,70,52,30,RB
74,81,85,68,70,65,64,69,72,62,59,52,59,84,66,69,59,58,69,74,70,71,59,73,85,65,54,70,63,RM
74,81,85,68,70,65,64,69,72,62,59,52,59,84,66,69,59,58,69,74,70,71,59,73,85,65,54,70,63,LM
87,71,84,75,67,73,68,55,69,65,38,60,48,82,46,56,29,65,68,67,65,69,32,90,76,28,70,64,60,LM
71,63,61,62,53,50,61,49,53,26,39,60,57,72,55,33,54,57,60,55,57,47,58,69,62,60,71,50,46,RB
62,70,55,59,55,65,40,33,47,26,52,66,63,59,59,33,67,42,43,62,68,46,51,62,74,59,83,59,34,CM
62,70,55,59,55,65,40,33,47,26,52,66,63,59,59,33,67,42,43,62,68,46,51,62,74,59,83,59,34,CDM
81,47,84,83,64,64,53,61,63,55,33,36,58,81,56,60,46,52,56,71,64,64,38,75,87,55,62,59,47,CM
85,61,79,87,68,50,68,60,66,50,57,43,69,89,63,67,65,64,65,62,67,68,72,85,81,72,49,56,39,RB
89,66,90,90,79,74,59,68,82,79,57,72,20,90,55,62,24,67,80,74,67,77,15,89,73,20,71,65,69,ST
76,58,50,55,47,50,58,39,53,26,20,53,57,68,43,25,65,45,38,54,53,46,64,69,64,65,68,36,24,CB
76,58,50,55,47,50,58,39,53,26,20,53,57,68,43,25,65,45,38,54,53,46,64,69,64,65,68,36,24,RB
62,82,61,56,58,64,54,49,45,25,41,67,66,80,64,31,68,38,38,68,62,61,68,76,63,74,77,56,58,CB
63,54,77,79,72,64,73,61,61,45,62,69,54,55,71,51,72,63,51,71,74,53,75,71,63,77,54,61,55,RM
63,54,77,79,72,64,73,61,61,45,62,69,54,55,71,51,72,63,51,71,74,53,75,71,63,77,54,61,55,RB
85,61,73,74,68,44,72,38,76,28,33,51,59,63,58,57,60,45,59,61,64,63,72,83,80,69,55,68,54,RM
85,61,73,74,68,44,72,38,76,28,33,51,59,63,58,57,60,45,59,61,64,63,72,83,80,69,55,68,54,RB
80,46,80,72,72,68,43,54,69,69,57,66,31,81,54,59,20,67,64,76,60,72,22,77,62,16,64,67,67,ST
66,29,56,70,57,54,37,52,72,63,34,50,13,56,40,64,15,73,41,56,56,69,15,64,56,15,47,53,59,RM
66,29,56,70,57,54,37,52,72,63,34,50,13,56,40,64,15,73,41,56,56,69,15,64,56,15,47,53,59,ST
66,76,65,64,62,73,43,33,55,33,35,74,64,72,58,31,72,41,41,70,64,60,75,68,70,73,80,45,33,CB
73,63,75,74,64,62,55,55,63,66,58,55,55,64,66,62,54,62,64,58,68,68,54,77,83,56,70,66,62,CM
69,75,58,59,72,65,49,55,69,57,52,60,66,71,67,65,55,43,61,65,70,68,59,58,70,59,71,65,50,CDM
69,75,58,59,72,65,49,55,69,57,52,60,66,71,67,65,55,43,61,65,70,68,59,58,70,59,71,65,50,CAM
69,75,58,59,72,65,49,55,69,57,52,60,66,71,67,65,55,43,61,65,70,68,59,58,70,59,71,65,50,CM
78,38,78,73,67,65,57,43,69,74,31,57,32,70,52,56,15,66,77,69,62,73,10,75,70,16,58,59,68,RM
78,38,78,73,67,65,57,43,69,74,31,57,32,70,52,56,15,66,77,69,62,73,10,75,70,16,58,59,68,ST
82,76,76,72,70,70,66,58,67,57,50,59,70,70,63,57,72,59,65,74,71,63,70,82,82,68,67,66,59,RB
92,68,89,89,76,69,61,66,77,74,55,60,38,54,61,74,25,60,74,71,67,81,30,90,79,39,50,70,70,ST
92,68,89,89,76,69,61,66,77,74,55,60,38,54,61,74,25,60,74,71,67,81,30,90,79,39,50,70,70,RM
64,65,58,50,53,53,54,48,59,38,42,60,46,55,68,53,36,50,62,55,79,60,46,68,61,44,70,57,48,CAM
69,45,82,73,60,50,47,54,61,46,52,51,21,63,61,53,18,54,49,53,63,58,13,69,64,15,56,55,53,CAM
45,67,61,63,64,65,57,62,63,61,63,63,65,81,65,62,61,65,63,63,66,65,60,51,63,61,68,65,55,CM
67,49,69,72,66,66,45,56,59,42,49,50,35,54,68,50,47,58,52,59,66,60,51,55,46,46,48,62,48,LM
67,49,69,72,66,66,45,56,59,42,49,50,35,54,68,50,47,58,52,59,66,60,51,55,46,46,48,62,48,CM
77,83,75,71,64,70,72,64,66,67,63,71,65,92,63,62,62,70,69,68,64,65,65,83,90,67,75,69,57,RB
77,83,75,71,64,70,72,64,66,67,63,71,65,92,63,62,62,70,69,68,64,65,65,83,90,67,75,69,57,ST
73,74,72,68,65,68,66,60,66,64,55,60,22,84,56,59,22,49,67,66,66,71,31,77,80,31,74,64,61,RM
73,74,72,68,65,68,66,60,66,64,55,60,22,84,56,59,22,49,67,66,66,71,31,77,80,31,74,64,61,ST
74,70,68,61,68,68,70,62,64,19,44,52,66,73,56,32,64,39,56,59,68,37,66,73,72,67,67,52,39,RWB
74,70,68,61,68,68,70,62,64,19,44,52,66,73,56,32,64,39,56,59,68,37,66,73,72,67,67,52,39,RB
77,54,75,79,67,63,63,57,66,43,59,52,59,66,62,64,60,55,45,61,63,69,63,76,76,61,54,58,49,LB
62,66,56,57,63,74,49,25,51,38,32,76,79,79,63,28,81,46,44,78,68,44,76,62,65,75,72,52,26,CB
66,35,60,54,59,55,54,40,57,40,42,33,42,43,49,42,32,46,52,46,55,45,34,61,59,33,56,48,41,CM
66,35,60,54,59,55,54,40,57,40,42,33,42,43,49,42,32,46,52,46,55,45,34,61,59,33,56,48,41,LM
55,43,42,41,57,72,55,41,61,71,51,75,31,63,41,64,11,51,62,62,51,77,12,71,55,11,88,41,61,ST
79,50,79,85,78,69,69,76,80,76,62,52,39,59,75,75,23,65,68,69,76,73,25,78,74,24,62,75,53,LM
79,50,79,85,78,69,69,76,80,76,62,52,39,59,75,75,23,65,68,69,76,73,25,78,74,24,62,75,53,CAM
79,50,79,85,78,69,69,76,80,76,62,52,39,59,75,75,23,65,68,69,76,73,25,78,74,24,62,75,53,RM
80,58,74,62,69,64,65,64,69,48,69,63,47,67,63,63,62,54,49,58,65,66,58,75,74,63,70,62,43,LM
80,58,74,62,69,64,65,64,69,48,69,63,47,67,63,63,62,54,49,58,65,66,58,75,74,63,70,62,43,RM
78,40,76,65,65,48,57,40,63,59,28,70,41,70,56,47,53,58,60,66,70,58,60,75,76,55,76,55,40,RW
78,40,76,65,65,48,57,40,63,59,28,70,41,70,56,47,53,58,60,66,70,58,60,75,76,55,76,55,40,ST
70,48,74,68,76,76,49,46,69,78,40,78,23,73,53,76,14,70,75,76,67,75,23,74,72,22,73,62,68,ST
75,31,74,70,65,52,47,35,64,53,32,53,12,65,49,60,17,64,60,63,54,61,18,76,70,11,60,55,48,RM
75,31,74,70,65,52,47,35,64,53,32,53,12,65,49,60,17,64,60,63,54,61,18,76,70,11,60,55,48,ST
82,55,83,71,63,60,55,60,65,66,34,39,21,57,35,52,16,59,66,50,56,65,19,86,76,17,74,60,61,RM
78,70,74,75,81,74,72,72,80,55,68,68,70,51,77,78,62,68,70,72,81,78,66,78,78,69,78,76,68,CDM
78,70,74,75,81,74,72,72,80,55,68,68,70,51,77,78,62,68,70,72,81,78,66,78,78,69,78,76,68,CM
71,84,65,58,73,72,54,39,68,65,47,79,81,78,64,63,70,52,72,79,68,74,75,77,92,81,88,63,50,RB
71,84,65,58,73,72,54,39,68,65,47,79,81,78,64,63,70,52,72,79,68,74,75,77,92,81,88,63,50,CB
71,84,65,58,73,72,54,39,68,65,47,79,81,78,64,63,70,52,72,79,68,74,75,77,92,81,88,63,50,CM
71,84,65,58,73,72,54,39,68,65,47,79,81,78,64,63,70,52,72,79,68,74,75,77,92,81,88,63,50,CDM
63,68,71,55,68,73,74,66,64,43,52,71,72,77,63,60,70,59,56,66,70,57,70,62,67,71,73,67,59,RB
79,72,70,60,68,74,73,65,68,48,54,60,65,68,66,65,62,50,62,70,66,72,70,76,79,68,75,55,42,RB
52,88,64,62,69,84,61,49,58,55,56,55,81,68,71,74,74,62,69,75,72,75,65,49,66,73,73,70,59,CDM
59,60,52,51,77,75,54,68,75,73,75,68,47,73,76,78,59,73,74,72,74,77,58,67,80,51,79,70,69,LM
59,60,52,51,77,75,54,68,75,73,75,68,47,73,76,78,59,73,74,72,74,77,58,67,80,51,79,70,69,CM
59,60,52,51,77,75,54,68,75,73,75,68,47,73,76,78,59,73,74,72,74,77,58,67,80,51,79,70,69,CF
59,60,52,51,77,75,54,68,75,73,75,68,47,73,76,78,59,73,74,72,74,77,58,67,80,51,79,70,69,CAM
60,82,64,61,56,64,48,42,47,25,22,58,62,88,57,27,71,56,38,55,58,44,68,59,65,66,71,53,28,CB
75,73,69,77,67,63,66,45,63,39,46,56,74,80,69,58,66,48,32,69,68,63,70,70,89,71,73,61,37,CDM
75,75,75,69,69,71,64,60,71,73,42,80,30,92,51,64,29,74,75,73,66,75,18,77,78,13,78,59,68,ST
75,30,79,64,50,49,39,34,52,52,35,47,23,72,50,46,33,51,52,44,54,47,39,72,64,35,59,54,42,ST
78,60,80,84,56,52,56,42,55,23,38,42,48,73,42,27,55,58,40,54,56,36,61,75,72,58,56,38,33,LB
64,60,63,61,57,52,50,64,53,52,36,58,50,67,60,55,55,40,59,65,64,61,63,61,62,55,64,68,29,CDM
64,60,63,61,57,52,50,64,53,52,36,58,50,67,60,55,55,40,59,65,64,61,63,61,62,55,64,68,29,CM
74,74,83,78,80,74,77,81,78,65,76,30,71,90,77,69,61,66,74,77,80,72,61,67,86,44,65,75,69,CM
74,74,83,78,80,74,77,81,78,65,76,30,71,90,77,69,61,66,74,77,80,72,61,67,86,44,65,75,69,CAM
82,62,88,79,64,59,50,54,68,55,34,37,24,42,55,55,25,49,57,55,59,59,29,73,50,34,37,59,59,CAM
82,62,88,79,64,59,50,54,68,55,34,37,24,42,55,55,25,49,57,55,59,59,29,73,50,34,37,59,59,LM
69,80,68,78,61,58,43,45,60,46,46,55,59,71,58,57,64,63,44,61,62,71,71,65,87,68,76,50,43,CM
69,80,68,78,61,58,43,45,60,46,46,55,59,71,58,57,64,63,44,61,62,71,71,65,87,68,76,50,43,CDM
90,61,70,68,59,58,66,39,64,39,40,51,65,70,48,43,65,53,53,68,54,39,71,89,83,67,68,55,36,RM
90,61,70,68,59,58,66,39,64,39,40,51,65,70,48,43,65,53,53,68,54,39,71,89,83,67,68,55,36,LM
90,61,70,68,59,58,66,39,64,39,40,51,65,70,48,43,65,53,53,68,54,39,71,89,83,67,68,55,36,LWB
76,50,73,65,65,57,50,52,62,63,40,66,45,72,49,61,33,69,67,62,59,70,42,73,56,42,70,56,57,RW
76,50,73,65,65,57,50,52,62,63,40,66,45,72,49,61,33,69,67,62,59,70,42,73,56,42,70,56,57,ST
75,62,75,79,63,38,67,39,71,38,41,52,65,73,52,51,56,50,59,67,55,71,66,78,70,62,61,43,30,LB
60,83,64,74,65,63,54,63,67,59,58,70,63,72,66,57,67,69,59,63,70,80,68,62,53,68,83,58,55,CDM
60,83,64,74,65,63,54,63,67,59,58,70,63,72,66,57,67,69,59,63,70,80,68,62,53,68,83,58,55,CB
67,63,56,62,48,48,52,39,53,23,19,49,57,73,44,26,57,44,42,53,50,41,59,72,51,64,71,37,30,LB
64,78,69,68,73,78,53,56,67,51,43,73,80,65,77,58,77,47,46,73,73,63,63,69,76,74,72,68,47,CB
64,78,69,68,73,78,53,56,67,51,43,73,80,65,77,58,77,47,46,73,73,63,63,69,76,74,72,68,47,CM
64,78,69,68,73,78,53,56,67,51,43,73,80,65,77,58,77,47,46,73,73,63,63,69,76,74,72,68,47,CDM
72,62,59,75,66,66,41,52,64,38,48,52,55,55,65,42,65,41,52,48,67,45,58,69,62,62,45,52,41,CDM
72,62,59,75,66,66,41,52,64,38,48,52,55,55,65,42,65,41,52,48,67,45,58,69,62,62,45,52,41,CM
86,65,82,77,78,76,77,61,77,64,60,43,42,65,74,66,53,49,68,70,78,70,57,90,92,53,60,68,49,LM
73,69,66,57,74,74,76,74,74,46,43,65,73,74,69,68,74,57,63,74,73,74,76,78,76,77,74,64,57,RB
73,69,66,57,74,74,76,74,74,46,43,65,73,74,69,68,74,57,63,74,73,74,76,78,76,77,74,64,57,LB
79,30,77,71,62,38,56,47,64,60,36,46,34,49,59,54,16,51,48,51,62,57,17,70,75,20,63,46,30,LM
55,50,60,69,60,60,49,40,46,45,37,41,40,57,61,33,32,55,44,48,64,53,48,57,44,35,51,53,41,CM
79,50,79,81,87,74,78,80,89,62,82,50,60,66,76,78,52,72,74,74,80,80,56,73,69,60,57,78,70,CF
79,50,79,81,87,74,78,80,89,62,82,50,60,66,76,78,52,72,74,74,80,80,56,73,69,60,57,78,70,CM
90,48,91,80,73,64,70,73,72,60,79,40,11,55,64,72,15,72,64,65,70,64,15,76,64,15,50,63,69,ST
90,48,91,80,73,64,70,73,72,60,79,40,11,55,64,72,15,72,64,65,70,64,15,76,64,15,50,63,69,CAM
51,60,62,51,66,61,65,43,69,45,65,64,58,69,64,56,64,57,54,59,67,69,59,62,67,64,81,48,39,CDM
51,60,62,51,66,61,65,43,69,45,65,64,58,69,64,56,64,57,54,59,67,69,59,62,67,64,81,48,39,CM
64,64,54,61,67,59,50,50,65,37,41,53,55,64,70,50,54,52,58,59,73,64,55,60,70,60,65,65,46,CM
64,64,54,61,67,59,50,50,65,37,41,53,55,64,70,50,54,52,58,59,73,64,55,60,70,60,65,65,46,CDM
62,67,66,61,56,58,58,50,51,29,45,64,68,64,53,56,66,43,36,66,57,68,66,67,75,67,74,53,39,LB
62,67,66,61,56,58,58,50,51,29,45,64,68,64,53,56,66,43,36,66,57,68,66,67,75,67,74,53,39,RB
62,67,66,61,56,58,58,50,51,29,45,64,68,64,53,56,66,43,36,66,57,68,66,67,75,67,74,53,39,CB
63,43,48,62,57,55,57,21,53,35,28,52,56,70,50,19,59,37,59,50,56,37,65,64,60,62,63,48,24,CB
63,43,48,62,57,55,57,21,53,35,28,52,56,70,50,19,59,37,59,50,56,37,65,64,60,62,63,48,24,RWB
63,43,48,62,57,55,57,21,53,35,28,52,56,70,50,19,59,37,59,50,56,37,65,64,60,62,63,48,24,RB
72,72,76,68,60,65,39,44,44,30,39,73,68,80,46,31,70,42,45,76,65,46,68,72,72,73,81,37,30,CB
65,55,70,79,65,66,53,48,67,55,43,49,36,70,65,69,47,49,60,62,67,67,39,66,63,40,41,67,47,CAM
51,63,63,64,71,71,68,65,73,59,73,48,48,49,66,65,37,71,68,68,72,54,44,55,47,47,46,76,67,CAM
64,48,83,81,71,69,58,61,62,41,51,46,33,49,69,66,42,60,51,56,73,47,54,62,51,52,51,67,52,CM
64,48,83,81,71,69,58,61,62,41,51,46,33,49,69,66,42,60,51,56,73,47,54,62,51,52,51,67,52,CAM
64,63,48,67,58,56,43,37,56,31,37,61,52,66,63,43,55,61,50,46,62,59,46,58,72,57,69,58,37,CM
79,60,69,67,56,55,54,50,53,51,51,57,59,67,57,54,56,57,46,63,60,62,64,79,66,65,71,42,47,LM
79,60,69,67,56,55,54,50,53,51,51,57,59,67,57,54,56,57,46,63,60,62,64,79,66,65,71,42,47,LB
66,50,75,84,55,55,50,46,57,47,43,45,49,43,57,41,43,45,49,53,62,55,52,66,64,51,47,55,50,CM
71,70,72,58,68,69,31,41,67,70,33,71,18,74,47,61,24,55,71,67,57,73,25,73,75,21,76,39,65,ST
67,70,70,68,63,72,61,72,61,51,61,71,72,78,75,74,71,65,47,69,70,76,74,66,66,74,75,65,51,CDM
67,70,70,68,63,72,61,72,61,51,61,71,72,78,75,74,71,65,47,69,70,76,74,66,66,74,75,65,51,CM
67,70,70,68,63,72,61,72,61,51,61,71,72,78,75,74,71,65,47,69,70,76,74,66,66,74,75,65,51,CB
79,51,55,79,50,56,52,53,54,42,40,45,44,64,51,42,43,40,55,47,54,49,52,81,62,50,60,45,42,LW
79,51,55,79,50,56,52,53,54,42,40,45,44,64,51,42,43,40,55,47,54,49,52,81,62,50,60,45,42,LM
