Name,Overall,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,Preferred Positions
K. Roofe,71,80,58,83,77,68,68,68,69,73,69,65,14,14,12,11,13,68,50,75,60,73,44,62,68,63,67,74,55,81,75,49,63,68,61,RM
B. Schwarz,63,64,81,69,67,57,59,54,34,51,42,43,14,16,15,6,14,61,54,61,52,23,66,55,49,64,63,53,67,65,69,66,69,40,16,CDM
K. Manolas,84,78,86,68,60,65,75,27,30,54,10,10,8,6,8,15,12,80,85,86,61,12,88,26,25,81,60,43,87,81,78,86,84,22,16,CB 
O. Cissé,66,42,73,35,42,65,62+1,44,38,59,41,42,7,10,11,9,9,68,64,64,65+1,44,55,46,15,59-3,66,67,55,46,79,70,89,52+4,40,CDM
S. Hawsawi,55,45,60,47,67,43,40,40,35,45,35,38,10,9,9,15,15,56,53,61,52,28,51,39,40,50,50,47,53,50,52,49,74,36,26,CB 
C. Kronberg,67,77,59,70,70,66,63,61,69,66,62,58,7,12,6,13,9,54,63,77,61,56,61,56,55,57,63,69,63,76,86,64,66,56,59,RB
Joaquín,78,71,53,71,75,83,80,84,86,85,74,77,9,14,6,10,11,56,35,37,81,76,29,75,77,71,80,74,39,65,35,41,60,81,68,LM
A. Katsaev,67,79,71,71,72,69,58,62,54,74,58,46,13,6,14,10,13,56,57,60,67,56,60,52,52,72,70,52,62,72,63,55,64,67,49,CDM
Y. Kaboul,75,46,81,53,46,59,65,56,44,52,21,43,9,14,7,9,6,80,74,78,54,56,72,54,51,66,64,82,74,57,67,75,85,51,34,CB 
O. Romero,76,79,50,79,85,78,69,69,76,80,76,62,8,7,14,14,10,52,39,59,75,75,23,65,68,69,76,73,25,78,74,24,62,75,53,RM
G. Prósperi,67,70,71,65,54,65,55,63,46,57,46,43,14,7,11,15,8,68,66,82,59,46,71,57,57,66,65,58,71,68,45,72,75,61,62,RB 
G. Hoarau,77,55,63,59,31,71,76,66,66,70,82,54,1,1,1,1,1,81,34,62,62,69,45,81,81,77,75,74,35,52,65,53,89,69,75,ST 
N. Belmonte,69,68,71,57,60,49,62,68,22,41,20,61,11,5,9,15,11,65,70,56,57,50,71,36,39,67,62,66,72,65,64,70,71,31,29,RB
M. Valdifiori,77,64,79,68,62,79,75,76,72,73,46,74,13,6,10,10,10,65,75,67,86,68,62,52,53,76,84,70,66,62,77,74,66,82,59,CDM
D. Schmidt,64,62,65,55,51,52,42,40,35,49,31,33,13,11,13,12,14,65,59,68,38,33,64,51,49,57,45,52,63,63,66,64,73,30,26,LB
T. Al Khudair,56,55,57,59,54,61,60,51,42,50,52,45,13,10,10,13,11,42,42,59,62,46,48,42,47,48,64,53,50,34,32,47,62,66,45,CDM
J. Murillo,67,85,63,76,74,60,57,57,59,55,35,37,8,15,9,10,15,56,74,72,50,36,64,39,36,67,58,41,67,84,89,65,67,31,36,RB
A. Matuschyk,67,67,59,74,75,70,66,58,54,64,57,57,9,8,11,15,14,66,66,73,66,70,62,51,59,62,70,73,66,66,70,66,62,65,63,CM
A. Golovatyuk,54,64,50,55,61,47,47,53,48,55,40,43,8,8,7,8,12,53,46,54,54,42,48,56,56,52,52,52,51,67,55,43,54,51,47,LM 
C. Deprès,59,60,36,69,52,53,54,36,45,56,64,50,7,12,10,12,11,67,14,72,41,50,18,62,49,60,49,63,22,46,48,26,75,43,44,ST 
Fran Rico,75,64,80,67,72,78,69,68,76,65,61,78,9,14,8,13,7,62,71,61,77,73,62,72,53,72,81,76,65,54,72,77,65,72,54,CM
J. Lucumi,57,69,45,58,52,45,35,50,32,50,20,31,6,11,10,8,7,60,51,59,33,22,55,36,33,53,45,29,55,68,65,56,72,32,20,CB
C. Avevor,64,61,70,57,58,59,50,55,29,48,32,35,7,12,10,10,6,62,63,80,59,41,62,31,35,63,62,58,66,69,55,65,84,54,33,CDM
F. Sittsam,60,69,64,35,65,56,64,33,39,54,27,35,14,9,8,14,6,58,58,59,48,34,62,43,39,62,57,35,57,66,72,61,71,50,30,CDM
G. Fabianos,73,76,70,62,61,57,66,69,30,53,32,31,10,11,7,8,13,76,66,88,68,41,72,37,58,71,65,48,76,70,58,75,77,47,32,CB
Rômulo,61,65,42,54,54,67,59,35,39,64,65,32,11,8,8,15,9,58,14,57,46,57,14,62,54,53,53,59,21,60,59,18,69,52,38,ST 
Victor Andrade,70,89,60,86,78,76,70,64,66,78,65,66,11,8,8,13,14,53,34,62,57,67,28,71,63,71,64,77,27,90,71,31,56,58,68,ST
V. Pajot,74,67,80,68,73,74,73,62,56,71,51,54,9,11,16,16,11,73,76,77,73,66,72,59,64,77,77,64,72,63,74,74,63,75,47,CDM
L. Sobiech,74,45,72,32,33,54,70,42,34,32,48,26,12,6,12,9,7,83,68,50,48,31,78,73,47,73,57,73,69,55,58,76,84,42,39,CB 
A. Devaux,67,42,63,67,63,74,71,70,64,62,58,66,16,8,12,13,15,66,65,72,72,65,54,70,48,48,73,70,61,51,77,65,69,63,59,CDM
R. Dadashov,59,68,49,68,66,58,51,37,45,57,60,38,6,12,7,6,6,50,21,68,36,53,18,58,55,56,54,59,20,67,55,23,68,42,55,ST 
F. Tait,69,76,35,57,71,69,72,68,41,73,62,40,12,15,14,8,9,41,25,35,69,64,28,53,68,69,72,62,31,70,32,33,49,71,61,CAM
T. Darikwa,70,88,69,72,62,67,68,63,57,69,47,43,8,13,12,9,12,53,64,60,54,44,60,51,66,56,62,49,70,91,87,67,74,60,39,RB 
J. Lescano,64,71,53,63,58,61,56,35,58,67,68,67,14,12,7,13,6,69,27,68,57,65,25,69,56,53,57,59,19,74,63,18,70,51,56,ST 
E. Whitehouse,57,64,68,72,71,55,55,37,39,53,48,33,11,13,14,7,10,59,57,71,54,56,40,47,58,57,58,59,52,65,73,56,71,53,44,CAM
N. Glushkov,62,77,35,61,78,68,52,59,48,71,51,45,6,10,10,7,8,48,27,46,58,48,30,58,51,52,55,59,39,80,32,35,51,55,50,LM
M. Mancienne,72,72,70,71,62,67,59,45,32,55,27,25,15,14,9,12,11,68,70,81,65,22,70,41,35,67,69,65,70,74,71,73,76,52,40,CB
K. Zouma,79,63,83,45,52,66,71,54,59,48,47,60,14,14,7,9,15,77,76,87,56,49,78,61,53,74,62,56,78,71,72,83,88,57,47,RB
M. Tanković,68,77,50,72,75,74,64,58,65,72,62,56,7,12,9,10,11,59,25,49,49,62,31,70,73,64,68,69,24,73,73,20,65,73,57,ST
A. Majrashi,53,62,58,59,64,55,38,39,39,43,25,35,15,8,10,8,11,46,46,66,47,33,35,42,49,47,55,48,51,54,64,62,59,48,34,CDM 
S. Salviato,65,70,69,62,62,59,59,59,57,52,42,57,11,13,13,7,11,59,61,79,57,58,61,25,39,61,63,71,63,72,81,65,80,29,53,CB
L. Unnerstall,71,28,36,19,20,19,41,10,13,16,13,11,69,71,64,69,72,10,21,40,24,12,10,16,13,69,26,14,15,37,35,17,81,42,15,GK 
M. Johnson,66,92,31,85,72,66,48,61,61,70,47,54,14,14,11,10,7,44,34,61,51,52,36,53,51,57,65,65,37,87,79,40,57,58,53,LB
J. McQuoid,59,78,38,81,74,56,52,50,66,55,57,42,14,11,7,11,14,52,48,62,40,56,30,57,59,54,54,61,33,76,71,35,58,50,56,ST
C. Dobnik,63,41,21,37,53,17,27,11,18,20,9,8,66,59,63,65,63,13,23,53,19,12,8,22,11,53,26,24,10,42,40,13,50,34,14,GK 
R. Köse,67,35,20,34,61,19,38,22,15,20,11,12,70,65,53,69,72,15,16,59,34,20,11,23,11,52,42,25,18,33,41,20,58,20,15,GK 
M. Carabajal,58,62,55,47,77,34,46,36,29,41,24,32,8,7,13,11,10,58,53,71,35,22,54,41,33,46,46,44,68,63,56,71,45,33,28,CB 
O. Orji,66,73,37,69,48,74,62,64,64,75,55,54,7,13,7,12,15,52,21,45,53,65,24,61,56,56,65,72,32,77,69,34,61,52,58,LW 
S. O'Neill,66,70-2,67-2,57,49+2,63,59,46,59,60,50,43,16,6,6,10,15,49,63,65+1,60-1,55,64+1,42,53,70,65,62,63,68-4,71,64,80-1,54,42,CB
A. Azbague,57,64,29,59,56,62,56,58,40,60,54,42,6,9,10,6,11,37,22,45,42,40,18,51,46,43,56,73,30,63,57,25,57,53,46,LM 
A. Novikovas,67,90,44,81,76,66,63,61,67,67,59,68,14,12,15,12,14,41,45,77,56,65,13,62,61,61,59,71,12,90,65,14,63,62,57,RM
R. Adler,79,46,25,49,43,20,49,13,12,13,14,13,78,77,70,80,80,10,17,69,36,14,12,21,7,80,39,23,13,37,22,12,66,38,18,GK 
C. Taylor,66,75,59,71,65,66,57,65,60,66,57,59,10,7,12,14,7,50,29,73,63,55,42,55,56,60,62,61,49,74,72,50,63,63,56,RM
A. Al Ghamdi,67,74,55,79,76,63,68,58,68,66,65,69,10,8,10,8,15,62,34,72,54,61,11,64,68,65,63,66,20,76,69,15,74,62,63,ST
L. Castiglia,65,55,70,58,54,69,60,60,60,63,46,55,5,5,4,4,8,60,50,58,68,56,52,60,50,69,68,65,60,65,65,60,74,68,53,CM
E. Palacios,63,71,39,76,68,67,52,61,49,66,51,42,10,5,8,9,6,51,49,70,57,61,49,54,57,52,59,55,53,74,78,52,54,53,47,RM 
J. Barrera,72,76,40,90,79,73,67,72,60,75,61,69,10,14,6,10,16,49,24,71,70,68,47,70+3,61,64,74,57,50,74,59,46,56,72,40,CAM 
B. van Wijnen,58,67,65,72,61,52,48,46,47,55,32,48,9,6,12,8,11,60,44,63,65,47,40,46,59,59,73,60,60,53,56,51,50,50,45,CM 
A. Büyük,71,76,74,82,84,72,62,62,63,72,73,45,11,7,15,15,11,71,37,92,58,71,16,59,70,72,68,71,20,77,73,19,45,60,65,ST
P. Downing,64,63,65,56,51,46,48,48,37,37,26,31,7,14,14,9,12,63,67,80,54,35,59,51,33,54,51,58,64,54,65,66,71,43,38,CB 
A. Farrell,69,80,79,74,71,65,66,59,55,62,46,53,15,16,12,10,15,49,66,67,51,51,65,31,59,67,62,61,68,78,82,69,78,52,52,CB
Fábio Pacheco,73,66,83,65,71,65,70,51,49,61,45,58,7,12,8,15,16,59,76,78,68,66,75,44,53,74,72,69,69,69,71,75,67,57,48,CDM
A. Mühling,66,65,68,66,63,66,63,59,44,62,56,44,9,12,15,14,7,46,57,70,65,66,47,50,56,67,68,71,51,67,82,60,76,63,49,CM
J. Damm,76,95,65,85,68,76,69,73,66,78,70,59,8,15,16,11,10,65,48,68,62,55,40,61,69,71,70,68,37,95,78,35,66,60,51,RM
C. Mansillas,69,82,51,70,67,76,72,60,54,75,50,56,12,8,11,7,12,51,24,55,51,67,12,67,77,76,68,72,13,81,60,14,71,55,71,ST
C. Antwi-Adjej,60,85,36,90,85,63,46,56,47,64,59,33,10,8,7,13,5,28,20,74,38,43,14,49,51,48,53,48,18,82,63,21,44,48,49,LM
D. Didavi,80,75,70,74,73,84,75,75,78,81,79,75,12,11,10,14,6,58,51,76,75,87,45,65,82,81,80,87,49,78,67,58,75,70,73,CAM
C. Lungu,73,82,61,82,87,73,67,68,61,77,65,60,9,16,7,15,10,55,39,81,60,58,42,59,69,60,69,63,46,88,83,53,61,69,47,ST
Marlion Simões,71,85,64,76,69,66,63,65,58,72,50,47,14,12,7,9,12,56,73,80,42,51,57,55,62,73,61,73,71,86,79,66,67,63,60,CM
D. Potter,65,51,71,72,58,65,67,55,55,57,51,53,12,14,8,14,16,60,52,65,63,54,60,40,59,66,66,59,62,59,78,64,73,73,60,CDM 
Kike García,75,66,71,65,56,76,63,53,42,71,77,46,7,9,8,13,13,78,37,74,49,62,15,70,77,64,68,77,21,74,72,34,79,65,75,ST 
L. Wahlqvist,69,74,72,60,56,63,65,67,66,56,29,31,12,6,12,9,9,62,69,80,55,62,73,30,43,66,59,72,64,72,78,69,65,54,38,RB 
I. Mbombo,64,79,28,71,62,63,62,62,53,64,66,49,6,9,15,8,14,47,17,73,57,55,11,56,58,59,60,64,10,77,67,12,75,52,57,ST
J. Penrice,52,64,46,56,68,30,41,41,29,52,29,30,12,14,9,7,11,46,52,66,30,25,52,38,39,48,32,27,56,59,62,57,58,41,26,LB 
M. Sarr,75,76,70,74,70,64,79,68,68,62,49,40,6,9,14,12,8,73,73,75,69,40,74,44,59,70,72,50,73,69,80,77,79,62,37,LB
J. Mensah,70,65,77,57,46,51,63,41,38,42,28,31,6,13,12,9,8,67,67,72,69,59,69,44,25,66,69,79,66,71,72,69,79,42,55,CB 
D. Guidileye,70,67,79,74,61,65,73,38,55,50,17,54,12,11,10,9,16,46,68,80,65,53,66,32,40,72,70,60,64,70,82,71,74,64,17,CM
H. Abe,64,90,33,75,85,68,48,35,41,81,62,32,12,12,9,8,7,60,17,63,40,51,21,58,60,53,54,62,15,88,61-22,24,40,55,64,LM
J. Correia,61,62,58,60,78,60,56,66,43,59,32,50,14,16,6,9,8,50,59,61,49,34,63,49,51,59,60,33,60,58,55,64,40,40,36,LB
M. Svilar,63,51,28,53,54,22,41,18,23,19,14,22,63,58,63,61,64,22,13,71,32,18,15,37,9,62,37,26,18,48,27,21,61,38,16,GK 
N. Rigoni,74,54,70,58,63,75,75,61,64,71,46,61,4,10,13,6,13,67,73,67,76,69,58,51,61,71,78,61,64,66,78,68,77,71,51,CM
J. Graham,67,82,43,75,75,68,60,72,74,77,57,71,7,15,14,14,13,34,23,56,46,57,21,58,57,53,56,68,24,84,65,23,42,63,54,LM
S. Härtel,53,77,51,78,73,48,32,49,44,55,27,25,14,11,8,5,6,38,53,68,35,23,46,37,38,47,40,33,52,64,54,53,35,39,25,LB 
A. Al Khaibari,64,64,67,58,60,55,60,29,64,27,25,66,8,7,13,12,10,64,59,84,26,62,60,37,23,58,43,57,62,66,69,62,82,35,31,CB 
K. Escamilla,67,66,61,63,68,67,59,57,58,41,55,45,8,13,16,14,13,46,68,53,67,54,65,45,45,66,68,62,63,60,72,65,70,61,43,CDM 
J. Hyland,55,59,46,64,65,57,53,44,52,53,54,43,14,12,12,11,9,42,56,57,54,54,51,49,49,48,58,53,53,62,59,54,45,54,49,CM
R. Meshino,51,59,25,57,80,53,44,31,41,49,50,44,9,7,10,8,12,48,11,68,29,51,12,59,50,47,40,48,11,60,56,12,54,42,40,ST 
E. Alioski,72,86+1,72,78+1,76,72,58,67+1,61+2,75,71,64,16,12,9,9,14,52,51,57,58,72,49,70,66+2,68,67,75,57,84,76+3,55,65,69,57,RM
J. McGinn,66,70,75,78,82,68,63,61,60,72,60,61,9,13,12,10,12,59,60,75,66,66,62,55,55,61,69,70,59,69,67,64,70,60,63,CM
F. Meza,72,67,72,60,62,59,63,35,30,39,31,40,9,14,11,15,10,71,78,70,67,23,72,33,37,66,58,35,73,68,63,72,72,42,25,CB 
G. Williams,61,75,51+1,73,69+3,57+1,48,53+1,28+5,59,25,34,6,7,11,6,8,52+5,48+1,87+2,61+1,29,59-2,29,29,56-2,61,24,63,70,69,64+1,68+1,44+1,22,CB
A. Al Amoudi,56,77,27,71,80,53,43,27,47,62,57,27,11,15,11,9,7,52,13,69,34,50,20,65,54,46,43,55,17,80,71,16,44,55,56,RM
Fran Rodríguez,65,69,57,61,65,60,53,62,41,62,45,67,11,10,9,11,10,59,63,54,47,33,63,46,67,66,62,60,61,68,61,69,38,36,29,RB 
Nadjack,63,72,72,67,59,58,65,62,54,60,28,32,10,9,11,9,12,41,58,81,48,43,55,31,56,57,58,71,64,79,79,62,64,37,39,RB 
J. Paterson,71,85,27,89,77,70,67,69,67,72,67,67,14,8,12,12,7,57,32,72,63,67,20,64,65,66,66,66,27,82,70,18,41,70+2,57,LM
A. Hansen,72,34,32,58,43,24,64,13,10,21,12,19,73,67,69,72,75,13,23,58,41,13,11,17,16,69,39,17,14,32,36,15,77,62,12,GK 
Juan Domínguez,69,63,59,71,70,72,58,58,68,68,57,59,12,9,6,16,10,51,74,80,69,61,60,70,53,73,70,59,59,57,82,60,69,71,49,CDM
T. Usami,74,79,30,79,80,75,72,70,71,80,71,60,9,11,9,6,7,41,34,33,69,70,28,59,72,65,72,63,21,76,66,27,37,73,62,ST
H. Sendiero,66,68,74,65,69,61,60,61,43,65,39,36,12,9,9,12,8,61,71,71,43,37,62,44,45,63,56,51,67,67,74,63,65,44,33,LB 
D. Alaba,86,86,69,79,77,83,79,82,78,79,63,85,5,7,14,15,9,75,85,82,80,83,81,80,77,84,83,83,83,86,87,83,69,78,68,CB
J. van der Linden,69,31,68,32,43,68,68,75,80,42,33,81,8,14,13,11,7,68,74,48,62,68,71,75,36,62,60,76,68,31,53,69,73,59,42,CB 
D. Riolfo,64,73,40,71,76,65,50,60,65,63,60,46,13,16,11,10,10,59,14,66,57,64,18,65,62,62,62,59,20,69,60,25,48,55,55,RM 
V. Onovo,58,88,44,84,86,61,60,42,48,64,47,42,11,9,5,12,7,41,48,62,56,52,52,47,56,52,55,55,51,83,67,57,49,57,49,CM 
N. Dorsch,61,68,59,76,77,65,53,52,47,64,36,41,12,9,5,9,5,57,56,72,59,43,58,32,47,55,65,53,61,57,61,59,57,52,38,CDM
R. M'Bolhi,69,57,45,61,56,16,64,13,13,10,10,13,70,62,63,61,78,12,17,78,42,13,10,22,12,69,45,17,10,41,44,13,75,42,14,GK 
J. Fulton,70,67,75,69,67,72,67,54,49,63,52,33,11,11,8,11,7,76,66,57,67,50,70,51,57,57,73,67,73,64,69,71,76,64,45,CDM
M. Kelemen,69,30,34,35,30,24,41,12,13,12,11,15,68,64,65,69,68,11,14,54,24,12,13,32,12,72,29,23,12,24,30,18,44,10,12,GK 
M. Kelly,73,56,70,59,55,67,75,73,60,59,38,35,7,11,8,7,8,76,71,70,64,38,72,58,42,73,68,61,78,60,75,77,79,39,39,LB
L. Ndao,63,91,59,72,75,63,62,63,43,64,64,41,7,15,16,11,11,61,49,59,53,55,40,66,62,53,57,62,52,83,48,53,37,57,63,LM
B. Dabo,74,79,78,71,71,74,71,73,64,76,70,60,8,6,10,10,11,70,74,83,71,69,74,58,71,72,76,78,71,78,80,76,78,68,69,CM
S. Adekoya,60,84,55,76,66,61,55,39,32,61,57,33,14,8,8,15,8,53,18,62,29,48,19,57,57,55,59,58,16,79,51,20,59,49,51,ST
N. Awuku,56,71,45,64,60,52,39,45,37,52,58,24,11,7,10,13,12,53,13,64,28,46,19,49,52,50,44,55,18,68,54,28,72,35,41,RM
A. Madu,63,41,53,32,53,48,43,42,26,27,22,21,11,13,6,8,8,66,61,68,39,17,62,55,24,56,51,39,57,55,64,64,84,35,28,CB
O. Söderberg,64,32,17,40,47,15,23,11,13,12,12,11,61,66,66,65,64,14,20,60,12,13,12,15,12,58,13,24,14,28,22,15,63,42,11,GK 
J. Hopcutt,66,79,48,80,78,67,62,48,55,67,67,41,6,11,11,7,14,46,35,63,42,65,28,52,68,63,57,62,33,77,75,37,61,61,56,CAM
I. Markelov,68,83,39,68,67,69,66,68,69,67,64,54,8,10,10,6,9,64,26,60,56,70,28,66,63,55,63,75,34,81,72,25,62,60,63,LW
C. Setola,63,74,63,70,70,54,57,62,37,58,34,38,14,7,7,10,11,57,63,63,60,39,58,51,49,57,62,57,59,68,66,62,53,46,44,LM
N. Hatta,53,31,22,25,45,12,24,12,11,4,6,13,54,48,45,55,54,11,8,62,22,6,5,11,5,49,23,12,13,26,14,12,42,34,10,GK 
Y. Mamilonne,61,71,54,57,42,59,60,30,32,52,62,24,8,10,13,10,8,70,20,61,47,54,26,56,60,44,54,54,19,67,58,22,84,47,55,ST 
M. Martin,69,54,68,67,72,66,61,69,57,56,60,70,7,9,13,10,9,64,68,74,72,70,54,74,59,67,74,66,67,46,76,68,74,67,51,CDM
F. Castillo,61,65,44,71,71,56,58,63,36,60,37,29,15,9,10,15,7,44,60,73,28,21,62,37,44,52,41,26,64,67,66,64,46,35,25,RB 
Felipe Soldivia,63,67,68,73,73,65,70,49,68,61,51,45,8,14,13,6,10,39,66,68,53,45,49,66,57,73,68,63,35,72,70,53,67,59,49,CM
J. Melling,63,64,81,73,72,56,54,42,49,52,40,32,13,13,7,7,12,40,62,75,59,45,57,36,51,62,62,53,56,68,68,60,69,61,34,CM
R. Mason,75,69,79,76,77,74,71,70,70,72,64,66,7,10,10,16,14,55,69,48,75,72,70,69,74,73,79,72,69,67,79,73,62,74,64,CAM
K. Oiwa,64,63,54,57,54,56,47,68,28,45,21,32,5,13,8,12,6,40,64,71,22,22,64,31,45,66,53,21,66,61,74,65,77,33,20,CB
J. Russell,69,78,76,74,76,69,67,69,45,70,64,53,12,16,8,12,7,66,46,82,62,65,35,65,69,65,65,77,30,80,82,38,68,66,53,LM
C. McLaughlin,68,74,65,71,63,66,65,71,61,62,38,44,9,13,8,8,6,58,64,77,58,42,66,49,55,53,66,62,65,67,80,68,68,32,35,RB
A. Veznera,77,81,96,67,66,72,77,76,81,71,54,77,9,16,8,8,10,77,67,72,67,77,77,77,57,72,77,84,75,82,89,77,82,56,71,LM
M. Hurst,48,40,20,45,52,25,27,19,12,13,15,19,45,49,50,50,45,15,29,55,19,20,16,29,13,47,26,25,16,42,33,15,58,20,14,GK 
H. Kamara,64,81,53,81,83,63,59,56,49,62,61,41,8,9,16,9,13,36,33,52,57,51,43,46,62,53,63,66,41,74,67,31,48,60,44,RM
Miguelón,62,71,50,64,62,55,52,64,31,52,25,27,10,9,11,12,12,54,62,61,46,29,58,35,52,59,55,26,60,66,61,65,53,42,28,RB 
S. Beattie,59,80,72,88,64,56,57,56,60,59,57,57,9,11,9,9,9,57,43,61,45,54,54,59,58,58,55,63,53,78,69,54,57,52,53,RB
S. Al Mutairi,59,75,53,65,74,53,45,33,32,58,59,31,15,14,6,11,10,57,19,60,27,51,12,60,57,50,40,60,17,78,63,17,61,49,52,ST 
P. Amond,58,60,35,58,70,54,55,45,50,56,59,38,11,12,9,16,14,56,29,61,37,54,18,55,60,55,43,59,18,56,61,22,62,49,55,ST 
E. Salli,70,91,62,83,92,70,67,62,64,75,66,53,7,10,13,8,13,64,22,73,50,62,23,58,65,65,62,68,22,93,70,31,61,63,59,ST
I. Kahveci,74,78,65,81,79,77,73,70,79,79,67,74,13,14,15,15,10,55,45,58,73,65,30,60,68,67,74,76,45,78,72,55,60,73,64,LM
Pedro López,72,70,77,70,74,73,67,77,69,68,53,56,10,12,16,12,14,53,73,66,64,66,72,58,59,69,70,74,67,70,74,74,63,59,51,RB
A. Linde,67,48,18,30,32,18,35,16,13,20,13,12,69,63,63,66,69,12,22,60,18,19,18,23,15,60,22,21,11,49,25,14,70,46,12,GK 
M. Caldara,76,59,72,59,70,60,73,31,20,36,34,24,14,9,6,9,5,74,80,71,50,19,78,30,33,73,55,37,76,64,68,79,75,22,40,CB 
A. Kovačević,66,65,76,70,74,62,65,57,43,60,41,62,11,12,15,6,13,59,70,74,64,66,61,45,33,55,66,68,64,70,77,63,66,63,33,CM
C. Espinoza,72,77,34,83,76,73,62,74,52,78,65,61,16,8,12,7,8,46,30,61,58,67,22,54,65,66,67,65,24,77,63,28,50,74,58,LM
Isma López,71,80,59,80,69,64,59,70,70,69,49,59,6,13,9,9,6,48,67,60,59,59,71,49,70,70,69,73,67,80,81,70,68,59,49,LWB
D. Samassekou,64,70,61,76,73,66,63,57,55,63,42,34,5,11,11,14,8,52,63,67,60,53,56,56,52,55,62,61,70,77,60,72,60,58,37,CM
M. Rosales,66,53,53,63,71,70,70,69,75,65,55,73,10,16,9,6,8,52,45,47,63,58,34,68,65,68,69+3,65,39,54,34,47,56,67,61,RM
R. Alessandrini,77,88,65,90,89,77,75,78,78,77,73,79,11,12,9,16,9,53,33,61,68,74,25,73,72,78,70,81,30,89,75,42,58,73,75,RM
M. González,61,61,79,60,61,61,56,52,52,56,43,47,12,6,10,6,7,58,65,74,56,55,59,51,58,64,58,57,57,64,74,68,72,55,46,CM
C. González,63,63,60,57,71,63,50,41,44,61,67,40,14,10,10,13,6,67,20,69,40,68,18,67,51,60,47,63,18,62,55,19,75,51,50,ST 
M. Hornschuh,68,54,59,55,45,63,63,62,43,57,36,33,13,10,15,14,10,71,66,77,61,46,70,40,40,66,66,42,66,65,72,68,68,54,35,CB
D. Vaughan,69,34,73,60,90,70,82,68,68,64,59,67,6,9,10,9,7,58,68,74,72,73,65,66,55,67,74,70,64,32,58,69,58,73,57,CM
A. Bernardini,70,58,69,47,42,52,70,36,37,35,21,38,13,15,6,8,5,70,70,78,40,49,67,24,24,68,53,58,67,68,74,74,72,47,41,CB 
Medrán,74,58,49,69,71,77,65,70,70,71,58,76,13,14,13,12,10,61,59,64,80,80,65,80,66,71,81,81,59,63,55,66,58,77,57,CAM
Djaniny,71,76,58,69,60,74,77,60,61,76,69,53,11,8,16,10,8,66,47,71,60,63,23,67,69,71,67,70,21,85,70,25,80,64,61,RW
N. Kikuchi,61,55,44,62,62,59,52,46,44,47,20,41,7,14,8,15,14,60,61,71,55,27,62,50,40,59,61,32,55,61,92,59,69,50,28,CDM
D. Furman,66,68,83,71,66,66,65,58,49,65,59,57,9,11,16,6,10,36,48,72,68,64,71,44,41,58,66,71,68,69,91,69,72,72,58,CDM
S. Aytaç,70,72,66,69,59,68,54,64,63,70,42,68,14,12,8,13,10,71,68-1,51,61,52,68-1,55,69,63,68,58,69-1,70,77,70,80,52,45,LB
A. Sigurðarson,66,80,40,73,70,67,70,59,63,70,61,57,6,15,14,14,5,43,22,64,53,59,38,56,62,62,60,64,34,78,65,33,56,69,59,LW 
A. Forshaw,72,68,59,78,71,75,74,68,67,77,59,67,10,7,12,13,16,47,57,33,74,66,52,66,71,64,78,67,54,64,73,55,58,71,59,CM
J. Menéndez,64,85,41,87,83,58,55,48,59,74,63,45,5,9,10,6,14,43,25,71,46,63,15,42,63,52,58,63,22,88,63,19,32,62,55,LW
G. Kongshavn,63,23,17,44,33,15,49,14,15,12,11,15,64,62,59,63,64,17,16,48,14,13,13,12,11,57,13,21,13,20,21,15,51,28,12,GK 
C. Früchtl,65,25,26,26,23,17,22,10,15,13,11,14,68,65,66,64,68,11,11,40,25,8,11,13,6,49,29,29,13,23,19,10,63,23,9,GK 
T. Blackett,70,68,72,60,58,63,59,68,66,65,24,65,15,11,15,8,14,64,71,64,65,56,65,45,55,63,67,56,67,74,69,70,81,59,44,LB
R. Mora,74,77,76,80,82,75,70,64,75,71,74,76,8,15,15,10,8,71,26,86,66,72,20,68,75,75,67,75,20,80,79,24,63,68,79,ST 
S. Payne,62,80,45,76,72,61,55,48,41,61,60,36,14,6,7,16,16,59,26,69,30,52,24,57,57,54,55,64,30,80,71,14,65,52,56,CF
João Vasco,66,73,65,61,65,63,57,36,40,59,68,33,10,13,8,11,11,65,15,69,38,59,22,66,63,67,56,70,15,68,63,27,76,50,52,ST 
C. Martins Pereira,65,59,64,56,68,63,57,52,47,58,46,39,7,6,6,13,13,65,63,58,63,45,61+1,45,57,59,71,65,62,67,68,63+1,68,48,47,CDM
S. Yıldırım,71,84,77,80,77,74,66,66,59,72,66,48,9,10,16,14,16,60,31,64,54,65,16,72,70,71,66,70,20,87,62,22,66,66,69,RM
Cristian,62,35,68,45,45,55,62,28,33,38,18,26,15,8,15,12,8,65,54,62,50,24,56,38,23,61,57,53,57,42,63,65,77,30,32,CDM
Aníbal Capela,69,44,76,55,64,55,59,40,43,36,19,45,9,7,8,9,11,72,66,86,41,24,63,48,24,65,55,38,64,51,60,66,84,39,21,CB 
M. Arnold,79,67,66,73,69,79,73,63,73,78,77,59,11,9,11,10,10,54,75,52,78,87,60,59,75,78,79,87,66,67,77,71,67,76,85,CM
